# Паспорта полей Dictionaries.risk_analytics. Единица строки — поле × источник (S01 RS, S02 Cards, S03 CrediLogic, S17 Fenix, «все» — поле ведёт себя одинаково или различие не измерялось).
# verdict: непригодно — поле пустое или содержит не то, что заявлено названием; ловушка — заполнено, но прямая трактовка систематически ошибочна, масштаб в number; пригодно — проверено и годится.
# number: посчитанная величина. Без числа строка не заводится — «поле пустое» без доли заполнения не факт, а впечатление.
# table: из FINDINGS либо из FROM запущенных скриптов sql/. Прочерк — таблица в первоисточнике не названа, взять из аудита DICT_A. Для payment_deferral таблица взята из контекста скрипта L2A, не из FINDINGS — подтвердить DICT_A.
# origin: раздел risk_dwh_reconciliation/FINDINGS.md. Поля, которых здесь нет, не считаются проверенными: их не смотрели, а не «с ними всё в порядке».
# Перенесено из FIELDS.md 02.09.2026 без изменения чисел; payment_deferral разложен по источникам — единственная содержательная разница разреза.
table;field;source;verdict;number;consequence;origin
restructuring_v2;canc_date;все;непригодно;0 заполнено из 139 874 событий, все четыре источника;отмена реструктуризации не фиксируется вовсе. Задевает stage3_safezone_plan, который на признак отмены опирается;§ 10.5
borrower;b_client_rating;все;непригодно;«рейтинга нет» у 15 624 317 из 15 626 804, актуальных не старше 12 мес — 559. Тип varchar(2000) — свободный текст, не код;рейтинговая сегментация клиентов невозможна;§ 10.5, § 15.2
borrower;b_income;все;непригодно;NULL у 12 064 140 из 15,3 млн физлиц (79 %) и у 100 % юрлиц (364 249);DTI и PTI на массе невыполнимы;§ 10.5
loans;l_term;S02;непригодно;100 % NULL (604 137);срочная структура S02 недоступна;§ 10.5
restructuring_v2;payment_deferral;S02;непригодно;NULL 100 %;глубина отсрочки по S02 не читается;§ 10.5
restructuring_v2;payment_deferral;S01;непригодно;NULL 99,7 % (8 835 из 8 863);глубина отсрочки по S01 не читается;§ 10.5
restructuring_v2;payment_deferral;S17;ловушка;NULL 27 %;читается на 73 % событий, NULL трактовать как «неизвестно», а не «без отсрочки»;§ 10.5
restructuring_v2;payment_deferral;S03;пригодно;NULL 0 %;глубина отсрочки читается только здесь;§ 10.5
borrower;b_region;все;непригодно;1 087 различных значений, NULL 5 015 427 плюс пустая строка 507 125 — вместе 35 %;не справочник, а свободный ввод;§ 10.5, § 10.6
loans;l_branch_code;все;непригодно;24 кода, 19 из них дают более одного названия, максимум 17 названий на один код;филиал — свободный текст при коде, а не измерение;§ 10.5
loans;l_rate;все;непригодно;содержит название продукта, а не ставку: TRY_CONVERT даёт NULL на 8 259 299 из 8 259 299. Гипотеза о формате (запятая, знак процента, неразрывный пробел) проверена напрямую и опровергнута;поле не является ставкой, ремонт через REPLACE невозможен;§ 10.1, § 11.1
borrower;b_bankruptcy_flag;все;ловушка;= 1 не означает банкрот: из 15 023 помеченных 10 057 (67 %) — «Отказано в банкротстве», фактических признаний 1 687 (11 %), плюс 214 строк с NULL-типом и опечатки в самом домене;фильтр по флагу завышает популяцию банкротов примерно в 9 раз;§ 10.7
borrower;ie_flag;все;ловушка;стоит только на юрлицах — 39 179 из 364 249, у 15 262 555 физлиц равен 0 везде;в РК ИП — физлицо-предприниматель: либо ИП заведены как ЮЛ, либо флаг привязан не к тому типу. Вопрос автору mart;§ 10.7
loan_account;days_past_due;все;ловушка;NULL у 79 %: заполнен у 53 592 из 254 338. При трактовке NULL как ноль доля 90+ = 14 %, при трактовке «неизвестно» — 67 % от известного;разброс в 4,8 раза на одном срезе в зависимости от трактовки NULL;§ 10.7
loan_account;max_days_past_due_principal_interest;все;ловушка;заполнен ровно у тех же 53 592 из 254 338;то же, что days_past_due;§ 10.7
loan_account;delinquency_bucket;все;ловушка;не сходится с days_past_due: 90+ = 35 673 против bucket = 3 = 49 343, расхождение 13 670 (38 %);два измерения просрочки дают разный ответ на один вопрос;§ 10.7
—;вид обеспечения (имя поля в первоисточнике не зафиксировано);S01;ловушка;«залоги» на 22 % не залог имущества: Залог имущества 7 713 из 10 525, поручительство 2 294, залог вклада 453, заклад денег 33, страховой полис 32;поручительство и страховой полис в знаменателе LTV завышают обеспеченность;§ 10.7
loan_account;счёт 1401 (GL-колонка);все;непригодно;нулевой везде;слагаемое 1401 в формуле total_balance_debt по S17 всегда ноль;§ 11.3
