# Последствия несоблюдения: что наступает, в какой срок и по какой норме.
key;level;trigger;consequence;deadline;norm;public
PLAN-98;1;Превышение любого из лимитов п. 98 Нормативов № 85;"План мероприятий в АРРФР: детальный анализ; прогноз; меры; помесячные мероприятия в разрезе ФЛ/ЮЛ; сроки; ответственные руководящие работники";5 рабочих дней при самостоятельном выявлении;№ 85 пп. 99, 102;нет
PLAN-98;2;План представлен;"Превышение НЕ рассматривается как нарушение лимита; согласование АРРФР 10 рабочих дней; одобрение до 30 рабочих дней";—;№ 85 пп. 99–101;нет
PLAN-98;3;План не представлен либо заявленный срок сорван;"Невыполнение меры надзорного реагирования; качественный признак ухудшения — основание режима восстановления финансовой устойчивости";немедленно;"Закон ст. 78 п. 2 пп. 7; № 119 п. 16 пп. 6";да
SUP-MEAS;1;Нарушение пруденциального норматива или лимита;"Меры надзорного реагирования: рекомендательные; по улучшению финсостояния (предписание или письменное соглашение); принудительные";по предписанию;Закон ст. 78–81;да
SUP-MEAS;2;Предписание с планом мероприятий;"Рассмотрение АРРФР 10 рабочих дней (+10 при замечаниях либо более 20 мероприятий); сведения о применённых мерах публикуются на сайте регулятора";10 (+10) рабочих дней;№ 272 пп. 5, 14;да
REG-SUP;1;Отклонение одного ОСНОВНОГО показателя № 119 либо комбинации вспомогательных;"Режим усиленного надзора: отчётность с индивидуальной периодичностью; оценка состояния с посещением банка и оценщиками за счёт банка; требование докапитализации; приостановление отдельных операций; улучшение корпуправления и СУР";решение АРРФР, доводится за 3 рабочих дня;"Закон ст. 87; № 119 п. 5, прил. 3";нет (конфиденциально)
REG-SUP;2;Пороги режима восстановления (№ 119 прил. 1) либо качественные признаки п. 16;"Режим восстановления: стоп дивидендов, выплат крупным участникам и вознаграждений руководству; миноритарии без права голоса; актуализированный план восстановления за 5 рабочих дней; замена руководящих работников; предварительное согласование сделок";5 рабочих дней на план;"Закон ст. 89; № 119 п. 16";нет (конфиденциально)
REG-SUP;3;Неплатежеспособность либо её угроза при жизнеспособности выше ликвидации;"Режим урегулирования: временная администрация; уменьшение капитала; реструктуризация обязательств; передача активов и обязательств; принудительная продажа банка";—;"Закон ст. 92–95; № 119 п. 17";да
REG-SUP;0;Выход из режима усиленного надзора либо восстановления;Устранение оснований И соблюдение всех пруденциальных и макропруденциальных нормативов и лимитов шесть последовательных календарных месяцев;минимум 6 месяцев;"Закон ст. 87 п. 6; ст. 89 п. 11";нет
RA-BREACH;1;Достижение сигнального уровня (жёлтая зона);"Разложение причины на факторы; план мероприятий с исполнителями; прогноз на два периода; учащённый мониторинг до выхода из зоны";5 рабочих дней (предлагается);"Политика п. 12-1; практика EBA/ECB";нет
RA-BREACH;2;Пробой внутреннего уровня РА (красная зона);"Немедленные ограничивающие меры из заранее утверждённого перечня; письменное описание устранения; план восстановления с целевой датой; информирование Правления и СД";3 рабочих дня (предлагается);Политика п. 12-1, п. 27;нет
RA-BREACH;3;Повторное либо длящееся нарушение;"Пересмотр самого лимита — только решением СД; временный акцепт с указанием срока; последствия с учётом величины, частоты и повторяемости";немедленно;предложение БРМ;нет
