# Реестр связей OLD ↔ NEW. Единица строки — связь: пара (таблица старой базы, объект mart), ключ, покрытие, статус.
# status: доказано — установлено на данных; устояло — подверглось сомнению и подтвердилось при перепроверке; опровергнуто — вывод, который однажды выглядел убедительным, снят на данных. Опровергнутые строки не удаляются.
# claim: формулировка вывода — как он был сделан (для опровергнутых — дословно, в кавычках). actual: что показала проверка либо оговорка к доказанному.
# coverage: доля совпавших ключей либо счётчик. Прочерк — не измерялось.
# origin: раздел risk_dwh_reconciliation/FINDINGS.md, где факт установлен. Здесь ничего не доказывается заново.
# old_object PORTFOLIO_CREDITCARDS_* = три таблицы S02: PORTFOLIO_CREDITCARDS_WAY4, PORTFOLIO_CREDITCARDS_MIGR_WAY4, PORTFOLIO_CREDITCARDS_SMART_CARD.
id;source;old_object;new_object;key;coverage;status;claim;actual;origin
CL-S01-01;S01;PORTFOLIO_RS;loans;contract_id → l_loan_id;—;доказано;loan_id-ключ работает;в отличие от S03: разные системы-источники заполняют la_loan_id по-разному, это свойство данных, а не непоследовательность;§ 1
CL-S02-01;S02;PORTFOLIO_CREDITCARDS_*;loans;contract_number → l_loan_number, сырой;97,96 % (27 257 из 27 824);доказано;связь по номеру договора;колонок l_loan_id, ID, LOAN_ID_KR в OLD-картах нет вовсе — проверено по схеме, а не перепиской;§ 1
CL-S03-01;S03;CL_PORTFOLIO_2;loans;contract_number → l_loan_number, сырой;—;доказано;связь по номеру договора;l_loan_id даёт 0 совпадений — иное пространство идентификаторов, не ошибка ключа, а другая нумерация;§ 1
CL-S17-01;S17;PORTFOLIO_Fenix;loan_account;contractnumber → la_dog_num + source = S17 + дата;—;доказано;связь по номеру договора с источником и датой;contract_id не годится: не уникален, до 33 договоров на один id;§ 1
CL-S03-02;S03;CL_PORTFOLIO_2;loans;—;—;опровергнуто;«S03: 17,2 млрд потерянной экспозиции»;2 907 договоров в статусе V — расторгнуты, подтверждено обеими ветвями. Gross 17,2 / основной долг 14,1 / провизии 8,5 → нетто около 5,6 млрд. Старая база удерживает расторгнутые, mart исключает по правилу жизненного цикла — направление расхождения обратное предполагавшемуся;§ 5
CL-S03-03;S03;CL_PORTFOLIO_2;loans;—;—;опровергнуто;«Остатки менялись, значит договоры живые»;движение у 824 из 2 902 (28 %) — остаточный учёт, а не жизнь договора;§ 5
CL-S03-04;S03;CL_PORTFOLIO_2;writeoff, collections, Offbalance;строковый ключ, затем gid;0;устояло;«2 907 договоров отсутствуют в writeoff, collections, Offbalance»;строковый ключ давал ложный ноль, ре-ключ по gid тоже даёт ноль — отсутствие реальное;§ 5
CL-S02-02;S02;PORTFOLIO_CREDITCARDS_*;loans: l_product_type, l_subproduct_type, l_loan_type, l_segment, l_credit_purpose, l_loan_purpose;—;—;опровергнуто;«Installment, kpk, Payda структурно только в новой ветви»;продуктовые поля S02 NULL на всех 27 825 строках. Заполнен только l_tag — флаг 0/1 (20 937 против 6 888), это не продукт. Продукты не находятся, потому что продуктового измерения S02 в mart нет;§ 5
CL-S02-03;S02;PORTFOLIO_CREDITCARDS_*;loan_account;любой source, срез 2026-07;0 из 124 964;опровергнуто;«Обрыв S02 в феврале 2026 — переезд под другой source»;из 124 964 записей, присутствующих только в старой базе, ни одна не имеет строки loan_account ни под каким источником. Не переехали — выпали из снимка целиком, дефект населённости loan_account, а не миграция;§ 5
CL-S02-04;S02;PORTFOLIO_CREDITCARDS_*;writeoff, collections, Offbalance;gid и dog_num;0;доказано;тройной ноль по S02 — честный, ключ ни при чём;домен source в writeoff (84 строки: S03 = 77, S01 = 7) и Offbalance (5 716: S03 = 4 228, S01 = 1 488) — только S01 и S03. collections (32 659) поля источника не имеет, формат dog_num 11–13 символов — диапазон S01 и S03, не карт. Пайплайн урегулирования структурно не покрывает S02;§ 5
CL-S17-02;S17;PORTFOLIO_Fenix;writeoff, collections, Offbalance;—;0;доказано;пайплайн урегулирования структурно не покрывает S17;домен source в writeoff, collections, Offbalance — только S01 и S03;§ 5
