source_or_document;locator;gap;status;source_locator
Закон о Банке России (РФ);Ст. 65;"220-И отсылает к нему за определением крупного кредитного риска; сам порог у нас не сверен";ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:404
Закон о банках РК;Ст. 61;Порядок урегулирования задолженности физлица — разобран в dpd15_cure, в реестр не перенесён;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:405
KZ-NBRK-075;Прил. 20-1, 20-2;Назначение форм подтверждено по п. 1 оригинала, но их тела отсутствуют в HTML ИПС «Әділет». Прочитать построчный состав по официальному PDF/ЭКБ;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:406
Правила № 86;пункты о бэктестировании моделей как отдельной обязанности;"Внешняя проверка методики провизий отнесла требование к № 86. В прочитанных пунктах его нет; в № 61 п. 16 есть валидация, но не бэктест. Установить, существует ли требование и в каком акте";ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:407
Правила № 86;пункты о прослеживаемости данных (data lineage);То же основание. В прочитанных пунктах не встречалось;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:408
Правила № 86;пункты об управлении сценариями (scenario governance);То же основание. Смежное требование сценарной оценки уровней есть в п. 18 части 4, но оно про риск-аппетит, а не про сценарии модели провизий;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:409
Правила № 61;п. 16 (о моделях) — полный текст;Процитирована только выжимка про глубину данных, метрики и периодичность валидации. Для ответа на вопрос о валидации моделей провизий нужен пункт целиком;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:410
NST-2026-MR;Главы 3–6 — рыночный риск, ЧПД, ЧНПД;Не наш периметр, но именно там лежит связь кредитного блока с остальными: без неё не проверить, не дублируется ли строка формы в двух блоках;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:411
NST-2026-MR;Глава 7 «Совокупный эффект на капитал», стр. 83–87 — целиком;Прочитан только п. 30 (О30). Расчёт k1 и RWA в стрессе идёт отсюда, а он зависит от того, чем закроется О30 — № 170 или № 85;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:412
NST-2025-MR;Таблицы 3–5 — постранично, по оригиналу;Сверка 2025 → 2026 велась по конспекту (nst_credit, 15.2). Пагинация 2025 года не подтверждена, а сопоставимость год к году на неё опирается;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:413
Учётная политика Банка по IFRS 9;Реквизиты, редакция и применимые пункты;"Источник не зарегистрирован; без него нельзя закрыть иерархию IFRS 9 → НПА → учётная политика → ВНД";ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:414
VND-01…VND-04;Полные карточки редакций, окончания действия и подтверждение владельцев;Реквизиты частично установлены, но владельцы и даты подтверждения отсутствуют;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:415
VND-05;Приложения 11–22 и эталонные hash Excel/OLE;"Файлы входят в комплект, но не разобраны по существу; эталонная версия формул не назначена";ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:416
VND-08;Конкретные пункты Правил бюджетирования, применимые к риск-аппетиту и стресс-тестированию;В реестре есть только дата и ссылки на пункты Плана SREP, а не координаты самого ВНД;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:417
VND-09;Конкретные пункты Политики управления капиталом;В реестре есть только дата и ссылки на пункты Плана SREP;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:418
VND-10;Конкретные пункты Инструкции по управленческой отчётности и форма № 50;Редакции названы, но постатейная привязка к метрикам не перенесена;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:419
VND-11;Конкретные пункты Плана финансирования капитала;Реквизиты, редакция и пункты отсутствуют;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:420
VND-12;Конкретные пункты Стратегии развития на 2025–2027 годы;В srep_action_plan используется ответ-ссылка по 13 пунктам, но координаты Стратегии не зарегистрированы;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:421
VND-13;Решение о действующем внешнем основании после отмены KZ-NBRK-170;В KZ-ARRFR-085 старое Руководство по пруденциальным провизиям не воспроизведено;ОТСУТСТВУЕТ;docs/analysis/npa_registry/CITED.md:422
